Өрөөний_хувийн_дугаар,Хичээлийн_байр,Өрөөний_дугаар,Харьяалах_сургуулийн_нэр,Өрөөний_зориулалт,Талбайн_хэмжээ,Хичээлийн_хуваарь_тавих_боломж,Суудлын_тоо,Проектортой_эсэх
6f6dd0c3cdb36c24f6c7fe330f75a69d,Хичээлийн байр 4,107 б,Биеийн тамирын тэнхим,"Биеийн тамирын өрөө, зал ",37.00,Харъяа сургуульд,20,Проекторгүй
bf958545be92f1fc5c2900cb50db4cb9,Хичээлийн байр 4,108,Биеийн тамирын тэнхим,Хичээлийн танхим,56.00,Харъяа сургуульд,30,Проекторгүй
adbca14864f09d4475f42a7c48703e03,Хичээлийн байр 4,800,Биеийн тамирын тэнхим,"Биеийн тамирын өрөө, зал ",930.00,Харъяа сургуульд,50,Проекторгүй
03878f84c31dcc21fdd68897b6440cc8,Хичээлийн байр 4,101,Бизнесийн сургууль,Анги,123.00,МУИС-н хэмжээнд,300,Проекторгүй
7948aa91bbbea2bc901d32048c8c907a,Хичээлийн байр 4,101 а,Бизнесийн сургууль,Агуулах,12.00,Хуваарь тавих боломжгүй,0,Проекторгүй
6b9038200edd135558c944d5233b2833,Хичээлийн байр 4,102,Бизнесийн сургууль,Багш нарын өрөө,11.00,Хуваарь тавих боломжгүй,2,Проекторгүй
7b344f009e3193688ccae61b1067c847,Хичээлийн байр 4,103,Бизнесийн сургууль,Багш нарын өрөө,10.00,Хуваарь тавих боломжгүй,2,Проекторгүй
1f5250b8c26b8424b717a5762b4cc703,Хичээлийн байр 4,104,Бизнесийн сургууль,Багш нарын өрөө,8.00,Хуваарь тавих боломжгүй,2,Проекторгүй
ea4556b8b231165f49b2d5af2bd21687,Хичээлийн байр 4,105,Бизнесийн сургууль,Багш нарын өрөө,15.00,Хуваарь тавих боломжгүй,2,Проекторгүй
08238ab64cc55e51b4f9c339eafdce6e,Хичээлийн байр 4,106,Бизнесийн сургууль,Албан ажлын өрөө,11.00,Хуваарь тавих боломжгүй,1,Проекторгүй
85b482d11fece6c19388a3b07860dc62,Хичээлийн байр 4,107 a,Бизнесийн сургууль,Багш нарын өрөө,17.00,Хуваарь тавих боломжгүй,2,Проекторгүй
6a65ce524f6a652d50909caf6d5d05cc,Хичээлийн байр 4,109,Бизнесийн сургууль,Хичээлийн танхим,49.00,МУИС-н хэмжээнд,37,Проектортой
4522700cf982d684a026a11ee3e90021,Хичээлийн байр 4,110,Бизнесийн сургууль,Албан ажлын өрөө,18.00,Хуваарь тавих боломжгүй,1,Проекторгүй
ddb872f85b9ed76bca2e474201afac57,Хичээлийн байр 4,111,Бизнесийн сургууль,Албан ажлын өрөө,19.00,Хуваарь тавих боломжгүй,2,Проекторгүй
86b119bb40433a511dab5889e722c4c9,Хичээлийн байр 4,112,Бизнесийн сургууль,Хичээлийн танхим,49.00,Харъяа сургуульд,32,Проектортой
72a58678564021a44541cb2cfcce9771,Хичээлийн байр 4,115,Бизнесийн сургууль,Албан ажлын өрөө,18.00,Хуваарь тавих боломжгүй,1,Проекторгүй
de1f4f575cdc0e44425932616e570d83,Хичээлийн байр 4,116,Бизнесийн сургууль,Багш нарын өрөө,18.00,Хуваарь тавих боломжгүй,3,Проекторгүй
181040418c28f57bd191c32bb21f92d7,Хичээлийн байр 4,117,Бизнесийн сургууль,Багш нарын өрөө,19.00,Хуваарь тавих боломжгүй,4,Проекторгүй
